State,Internet penetration
Alabama,1
Alaska,0
Arizona,1
Arkansas,1
California,0
Colorado,1
Connecticut,0
Delaware,0
District of Columbia,1
Florida,0
Georgia,0
Hawaii,1
Idaho,1
Illinois,1
Indiana,1
Iowa,1
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,1
Massachusetts,0
Michigan,0
Minnesota,1
Mississippi,0
Missouri,1
Montana,1
Nebraska,1
Nevada,0
New Hampshire,1
New Jersey,1
New Mexico,0
New York,0
North Carolina,0
North Dakota,1
Ohio,0
Oklahoma,1
Oregon,1
Pennsylvania,0
Rhode Island,1
South Carolina,1
South Dakota,0
Tennessee,0
Texas,0
Utah,1
Vermont,1
Virginia,1
Washington,1
West Virginia,0
Wisconsin,1
Wyoming,0
